Date,aapl,adbe,amd,amzn,axp,cl,cmg,cost,crm,csco,dal,dis,fdx,googl,hd,hsy,jnj,jpm,ko,luv,ma,mar,mcd,mmm,msft,nflx,nke,nvda,pg,sbux,tgt,tsla,v
2009-11-19,6.078293323516846,36.11000061035156,7.050000190734863,6.44950008392334,33.61678695678711,30.49962043762207,85.47000122070312,44.46553039550781,15.645000457763672,16.4335880279541,6.727662563323975,26.013811111450195,71.92430877685547,14.339089393615724,19.40245056152344,26.941028594970703,41.4835090637207,29.82670021057129,18.60829734802246,8.079567909240723,21.433835983276367,21.531625747680664,42.82472610473633,51.20834732055664,22.633344650268555,8.60857105255127,13.422164916992188,2.9770474433898926,41.35411834716797,8.514692306518555,33.49473190307617,,18.1745548248291
2009-11-20,6.060407161712647,35.810001373291016,6.949999809265137,6.482999801635742,33.445186614990234,30.337045669555664,83.87999725341797,44.15674209594727,15.640000343322754,16.28091049194336,6.754252433776856,25.84159278869629,71.31388092041016,14.263262748718262,19.452550888061523,26.97004127502441,41.731327056884766,29.76362037658692,18.804588317871094,8.16118049621582,21.533510208129883,21.311418533325195,43.202938079833984,50.80398178100586,22.51174545288086,8.567143440246582,13.498187065124512,2.958698034286499,41.12123107910156,8.46723461151123,33.187068939208984,,18.13375663757324
2009-11-23,6.241078853607178,36.43999862670898,7.0,6.650000095367432,34.01718521118164,30.553823471069336,85.13999938964844,44.53168487548828,16.125,16.586257934570312,6.851756095886231,26.246307373046875,72.03765869140625,14.573323249816896,19.688730239868164,26.61026382446289,41.985816955566406,30.338409423828125,19.05321502685547,8.288130760192871,22.002077102661133,21.409290313720703,43.21643829345703,51.52654266357422,22.75495147705078,8.625714302062988,13.61855411529541,2.9816343784332275,41.74003982543945,8.546331405639648,33.04721450805664,,18.233497619628903
2009-11-24,6.197428226470947,35.95000076293945,6.949999809265137,6.646999835968018,33.861915588378906,30.730846405029297,83.98999786376953,44.487586975097656,16.360000610351562,16.475221633911133,6.789708614349365,26.03103256225586,71.32258605957031,14.591841697692873,19.72451400756836,26.807693481445312,42.31398010253906,29.777633666992188,19.03686141967773,8.106773376464844,22.138084411621094,20.83838081359864,43.37177276611328,51.44700241088867,22.732149124145508,8.524286270141602,13.624889373779297,2.963285446166992,41.78662109375,8.43559741973877,33.187068939208984,,18.2742977142334
2009-11-25,6.189847946166992,36.16999816894531,7.110000133514404,6.701499938964844,34.09072494506836,30.51408767700196,84.44999694824219,44.76694488525391,16.272499084472656,16.475221633911133,6.993576526641846,26.35825157165528,72.8137435913086,14.658158302307127,19.93207359313965,26.281200408935547,42.39437103271485,29.553335189819336,19.01069068908692,8.251860618591309,22.342084884643555,21.148303985595703,43.52711486816406,51.645843505859375,22.640947341918945,8.460000038146973,13.874077796936035,2.997689008712769,41.83321380615234,8.629380226135254,33.44580841064453,,18.539501190185547
2009-11-27,6.080716609954834,35.380001068115234,6.849999904632568,6.586999893188477,33.37163543701172,30.214216232299805,83.33000183105469,44.13468933105469,15.8125,16.225387573242188,7.011305332183838,26.13436508178711,72.07257080078125,14.508508682250977,19.760299682617188,26.032564163208008,42.1197624206543,28.971498489379883,18.8393669128418,8.152114868164062,21.946176528930664,20.601852416992188,43.32275390625,50.87690734863281,22.20773124694824,8.264286041259766,13.73681640625,2.93346905708313,41.57371139526367,8.47514533996582,33.35489654541016,,18.208559036254883
2009-11-30,6.060103893280029,35.08000183105469,7.010000228881836,6.795499801635742,34.180606842041016,30.416522979736328,83.44999694824219,44.04645919799805,15.670000076293944,16.23927116394043,7.259492874145508,26.02241897583008,73.64215087890625,14.589590072631836,19.581377029418945,25.8643798828125,42.08628845214844,29.784656524658203,18.8459529876709,8.342541694641113,22.43710899353028,20.977027893066406,43.08433532714844,51.33430480957031,22.352134704589844,8.375714302062988,13.703024864196776,2.9953951835632324,41.48719787597656,8.661019325256348,32.55772018432617,,18.36043167114257
2009-12-01,5.970979690551758,36.400001525878906,7.199999809265137,6.925000190734863,33.74753952026367,30.98012351989746,84.61000061035156,44.64932632446289,16.079999923706055,16.600147247314453,7.640639781951904,26.46158599853516,74.8891830444336,14.76151180267334,20.2055892944336,26.23732185363769,42.53499984741211,29.59537506103516,19.135892868041992,8.47856330871582,22.635522842407227,21.00964736938477,43.28189468383789,52.12312698364258,22.80815315246582,8.318571090698242,13.81072235107422,3.055028200149536,41.85982894897461,8.593789100646973,32.7115592956543,,18.80697250366211
2009-12-02,5.94854736328125,36.5,7.300000190734863,7.112500190734863,33.53506851196289,31.186059951782227,85.5,44.75223922729492,16.18000030517578,16.56544303894043,8.234519004821777,26.51325225830078,75.95304107666016,14.702451705932615,20.443721771240234,26.361635208129883,42.78281021118164,29.39208984375,19.09635353088379,8.532968521118164,22.582439422607425,20.92808723449707,42.57344818115234,51.97730255126953,22.633344650268555,8.428570747375488,13.800165176391602,3.1467714309692383,42.04611587524414,8.574013710021973,33.36887741088867,,18.63697052001953
2009-12-03,5.9561262130737305,36.0,8.029999732971191,7.058499813079834,31.76188087463379,30.94400405883789,83.20999908447266,43.39210891723633,16.172500610351562,16.537681579589844,8.314291954040527,26.11714172363281,74.94146728515625,14.658158302307127,20.155075073242188,26.251956939697266,42.97032928466797,29.02058219909668,18.8690128326416,8.62364673614502,21.99928855895996,21.05858612060547,42.21243667602539,51.142066955566406,22.67134666442871,8.284285545349121,13.713223457336426,3.17199969291687,41.62691879272461,8.35254192352295,32.410884857177734,,18.14055633544922
